date,allPass
2019/9/29,2429816
2019/9/30,2217681
2019/10/1,2154618
2019/10/2,2330325
2019/10/3,2827167
2019/10/4,3110629
2019/10/5,2786184
2019/10/6,2269070
2019/10/7,2085949
