date,metro_no,pass,changePass,allPass,allChange
2019/7/5,3,531643,294220,,
2019/7/5,4,437367,261081,,
2019/7/5,7,450975,456529,,
2019/7/5,10,47490,42163,,
2019/7/6,1,433494,254836,2194406,1338587
2019/7/6,2,553690,235386,,
2019/7/6,3,462450,242067,,
2019/7/6,4,339953,212643,,
2019/7/6,7,360402,357082,,
2019/7/6,10,44417,36573,,
2019/7/7,1,383513,242273,2090954,1275481
2019/7/7,2,543426,219031,,
2019/7/7,3,451238,231407,,
2019/7/7,4,321029,203055,,
2019/7/7,7,346612,340257,,
2019/7/7,10,45136,39458,,
2019/7/8,1,714881,364226,2804807,1682884
2019/7/8,2,638583,283098,,
2019/7/8,3,534979,289502,,
2019/7/8,4,432242,256192,,
2019/7/8,7,436480,446256,,
2019/7/8,10,47642,43610,,
2019/7/9,1,715673,353923,2742636,1645581
2019/7/9,2,636841,282573,,
2019/7/9,3,517528,283853,,
2019/7/9,4,421370,249505,,
2019/7/9,7,405064,434401,,
2019/7/9,10,46160,41326,,
2019/7/10,1,718794,364469,2799348,1679608
2019/7/10,2,652623,287925,,
2019/7/10,3,536415,291178,,
2019/7/10,4,437011,256668,,
2019/7/10,7,406007,438563,,
2019/7/10,10,48498,40805,,
2019/7/11,1,664861,326452,2468680,1481208
2019/7/11,2,570582,252378,,
2019/7/11,3,455326,254270,,
2019/7/11,4,377772,224969,,
2019/7/11,7,358667,387162,,
2019/7/11,10,41472,35977,,
2019/7/12,1,751792,377827,2955140,1773084
2019/7/12,2,696801,308615,,
2019/7/12,3,574971,311231,,
2019/7/12,4,453914,274434,,
2019/7/12,7,432442,459719,,
2019/7/12,10,45220,41258,,
2019/7/13,1,476494,269589,2254616,1375315
2019/7/13,2,555322,239041,,
2019/7/13,3,463732,248368,,
2019/7/13,4,366766,225068,,
2019/7/13,7,348942,357908,,
2019/7/13,10,43360,35341,,
2019/7/14,1,405046,248941,2099692,1280812
2019/7/14,2,541467,219897,,
2019/7/14,3,443209,232455,,
2019/7/14,4,336632,208327,,
2019/7/14,7,333530,335840,,
2019/7/14,10,39808,35352,,
2019/7/15,1,716434,365338,2777503,1666501
2019/7/15,2,645012,287510,,
2019/7/15,3,530393,287366,,
2019/7/15,4,431270,254323,,
2019/7/15,7,410036,434633,,
2019/7/15,10,44358,37331,,
2019/7/16,1,708749,361364,2729588,1637752
2019/7/16,2,623457,280944,,
2019/7/16,3,523812,282938,,
2019/7/16,4,424280,250963,,
2019/7/16,7,403690,424294,,
2019/7/16,10,45600,37249,,
2019/7/17,1,718309,368700,2795543,1677325
2019/7/17,2,643423,287752,,
2019/7/17,3,542302,293889,,
2019/7/17,4,433234,256942,,
2019/7/17,7,412248,432771,,
2019/7/17,10,46027,37271,,
2019/7/18,1,701472,358029,2737654,1642592
2019/7/18,2,626105,281384,,
