batch_date,batch_time,speed
2019-01-02,3:20,52.38168651
2019-01-02,3:30,52.56778986
2019-01-02,3:40,52.7627028
2019-01-02,3:50,52.94014551
2019-01-02,4:00,53.16844565
2019-01-02,4:10,53.33432592
2019-01-02,4:20,53.54201072
2019-01-02,4:30,53.64159899
2019-01-02,4:40,53.66520922
2019-01-02,4:50,53.73303963
2019-01-02,5:00,53.80533504
2019-01-02,5:10,53.65520106
2019-01-02,5:20,53.60905668
2019-01-02,5:30,53.56958229
2019-01-02,5:40,53.47940704
2019-01-02,5:50,53.46817948
2019-01-02,6:00,53.37536038
2019-01-02,6:10,53.16150348
2019-01-02,6:20,52.8724482
2019-01-02,6:30,52.42466671
2019-01-02,6:40,51.79152305
2019-01-02,6:50,50.98830836
2019-01-02,7:00,50.10531389
2019-01-02,7:10,48.80042429
2019-01-02,7:20,47.01415428
2019-01-02,7:30,45.19920875
2019-01-02,7:40,43.10513342
2019-01-02,7:50,41.03325792
2019-01-02,8:00,39.30789674
2019-01-02,8:10,37.91541165
2019-01-02,8:20,36.70047413
2019-01-02,8:30,35.9970453
2019-01-02,8:40,35.69984149
2019-01-02,8:50,35.61157821
2019-01-02,9:00,35.94678175
2019-01-02,9:10,36.60654135
2019-01-02,9:20,36.92668016
2019-01-02,9:30,36.99723946
2019-01-02,9:40,36.97943012
2019-01-02,9:50,36.88577876
2019-01-02,10:00,36.77811114
2019-01-02,10:10,36.70968486
2019-01-02,10:20,36.71811144
2019-01-02,10:30,36.75168566
2019-01-02,10:40,36.92635463
2019-01-02,10:50,37.08823607
2019-01-02,11:00,37.33388225
2019-01-02,11:10,37.67051403
2019-01-02,11:20,38.00175041
2019-01-02,11:30,38.37333321
2019-01-02,11:40,38.77164829
2019-01-02,11:50,39.21223863
2019-01-02,12:00,39.74090087
2019-01-02,12:10,40.32139791
2019-01-02,12:20,40.84648251
2019-01-02,12:30,41.48533839
2019-01-02,12:40,41.95454757
2019-01-02,12:50,42.24351175
2019-01-02,13:00,42.30030284
2019-01-02,13:10,42.14802768
2019-01-02,13:20,41.74411337
2019-01-02,13:30,41.19666169
2019-01-02,13:40,40.57395229
2019-01-02,13:50,39.86428291
2019-01-02,14:00,39.23260802
2019-01-02,14:10,38.84895008
2019-01-02,14:20,38.49563238
2019-01-02,14:30,38.23352975
2019-01-02,14:40,38.05553682
2019-01-02,14:50,37.92945886
2019-01-02,15:00,37.9390057
2019-01-02,15:10,37.99495561
2019-01-02,15:20,37.99041375
2019-01-02,15:30,37.92783472
2019-01-02,15:40,37.94818758
2019-01-02,15:50,37.90651801
2019-01-02,16:00,37.92822137
2019-01-02,16:10,37.92932262
2019-01-02,16:20,37.84590737
2019-01-02,16:30,37.72504611
2019-01-02,16:40,37.63275036
2019-01-02,16:50,37.41295982
2019-01-02,17:00,37.26535723
2019-01-02,17:10,36.84278891
2019-01-02,17:20,35.77177154
2019-01-02,17:30,34.92591097
2019-01-02,17:40,34.42120429
2019-01-02,17:50,33.46587714
2019-01-02,18:00,32.67666925
2019-01-02,18:10,32.4406349
2019-01-02,18:20,31.94131539
2019-01-02,18:30,31.68232333
2019-01-02,18:40,32.11278172
2019-01-02,18:50,32.88956019
2019-01-02,19:00,33.82672725
2019-01-02,19:10,34.8439939
2019-01-02,19:20,35.73412977
2019-01-02,19:30,36.57668884
2019-01-02,19:40,37.34540065
2019-01-02,19:50,37.93832756
2019-01-02,20:00,38.3662527
2019-01-02,20:10,38.56489796
2019-01-02,20:20,38.49195002
2019-01-02,20:30,38.51819869
2019-01-02,20:40,38.69898945
2019-01-02,20:50,38.90938387
2019-01-02,21:00,39.18708676
2019-01-02,21:10,39.52579263
2019-01-02,21:20,39.78001397
2019-01-02,21:30,40.11898843
2019-01-02,21:40,40.5494448
2019-01-02,21:50,40.97009113
2019-01-02,22:00,41.48964647
2019-01-02,22:10,41.94719338
2019-01-02,22:20,42.22992538
2019-01-02,22:30,42.71119813
2019-01-02,22:40,43.33208428
2019-01-02,22:50,43.88699986
2019-01-02,23:00,44.40427409
2019-01-02,23:10,44.86983413
2019-01-02,23:20,45.4865676
2019-01-02,23:30,45.93859975
2019-01-02,23:40,46.19162163
2019-01-02,23:50,46.43430946
2019-01-03,0:00,46.73322472
2019-01-03,0:10,46.92556293
2019-01-03,0:20,47.06373919
2019-01-03,0:30,47.28759335
2019-01-03,0:40,47.516856
2019-01-03,0:50,47.76815944
2019-01-03,1:00,48.03722483
2019-01-03,1:10,48.25339022
2019-01-03,1:20,48.52546176
2019-01-03,1:30,48.74695478
2019-01-03,1:40,48.91512505
2019-01-03,1:50,49.11846922
2019-01-03,2:00,49.28352658
2019-01-03,2:10,49.4604762
2019-01-03,2:20,49.68349422
2019-01-03,2:30,49.88005125
2019-01-03,2:40,50.03033976
2019-01-03,2:50,50.1298346
2019-01-03,3:00,50.25523749
2019-01-03,3:10,50.42867079
2019-01-03,3:20,50.66699067
2019-01-03,3:30,50.86339766
2019-01-03,3:40,51.06861115
2019-01-03,3:50,51.25635052
2019-01-03,4:00,51.49494263
2019-01-03,4:10,51.6711094
2019-01-03,4:20,51.88907444
2019-01-03,4:30,51.99893595
